name,taxon,status_species,spending,region_num,priority,priority_threat,priority_potential,priority_rarity,conflict,ngenus,CommonNameFlag,ngrams_science,ngrams_common
Dicerandra immaculata,Plants,1,15015.77,1,2,3,2,2,1,5,0,-0.1638258,-0.122832
Cyanea copelandii ssp. copelandii,Plants,Prob. Extinct,472.9378,1,6,3,1,1,0,10,0,-0.1638258,-0.122832
Cyanea platyphylla,Plants,1,591.1722,1,2,3,2,2,0,10,0,-0.1638258,-0.122832
Schiedea spergulina var. leiopoda,Plants,1,472.9378,1,6,3,1,1,0,34,0,-0.1638258,-0.122832
Clarkia franciscana,Plants,1,33696.82,1,5,3,1,2,0,42,0,-0.08159312,-0.1036857
Cyanea pinnatifida,Plants,1,827.6411,1,5,3,1,2,0,10,0,-0.1638258,-0.122832
Cyanea glabra,Plants,1,10741.6,1,5,3,1,2,0,10,0,-0.1638258,-0.122832
Hedyotis schlechtendahliana var. remyi,Plants,1,3547.033,1,6,3,1,1,0,6,1,-0.1638258,0.3312504
Ribes echinellum,Plants,1,37243.85,1,11,2,1,2,0,114,0,-0.07271131,-0.1179546
Lesquerella thamnophila,Plants,1,23646.89,1,5,3,1,2,1,91,0,-0.1298518,-0.1151306
Dubautia herbstobatae,Plants,1,185636.4,1,8,2,2,2,0,30,0,-0.1638258,-0.122832
Minuartia cumberlandensis,Plants,2,38231.11,1,8,2,2,2,0,51,0,-0.1638258,-0.1177456
Sarracenia rubra ssp. alabamensis,Plants,1,19745.15,1,6,3,1,1,0,32,0,-0.1638258,-0.122832
Remya montgomeryi,Plants,1,1891.751,1,5,3,1,2,0,3,0,-0.1638258,-0.122832
Hedyotis mannii,Plants,1,9458.755,1,5,3,1,2,0,6,0,-0.1638258,-0.122832
Solanum incompletum,Plants,1,257871.7,1,5,3,1,2,0,1118,0,-0.1060667,-0.1206794
Limnanthes vinculans,Plants,1,12532.85,1,2,3,2,2,1,7,0,-0.1352562,-0.1202055
Asimina tetramera,Plants,1,29795.08,1,11,2,1,2,0,13,0,-0.1638258,-0.122832
Lotus dendroideus var. traskiae,Plants,3,51274.73,1,15,1,2,1,0,2,0,-0.1638258,-0.122832
Manihot walkerae,Plants,1,162217.7,1,5,3,1,2,0,71,0,-0.1638258,-0.122832
Lobelia monostachya,Plants,1,827.6411,1,5,3,1,2,0,53,0,-0.1638258,-0.122832
Dudleya verityi,Plants,1,1182.344,1,2,3,2,2,1,29,0,-0.1480561,-0.1206968
Dudleya cymosa ssp. marcescens,Plants,2,4690.36,1,9,2,2,1,0,29,1,-0.1638258,-0.1216804
Bonamia grandiflora,Plants,3,78034.73,1,8,2,2,2,0,9,0,-0.1638258,-0.122832
Dubautia pauciflorula,Plants,1,827.6411,1,8,2,2,2,0,30,0,-0.1638258,-0.122832
Cyanea mannii,Plants,2,591.1722,1,2,3,2,2,0,10,0,-0.1638258,-0.122832
Ptilimnium nodosum,Plants,2,58198.54,3,8,2,2,2,0,5,0,-0.05620345,-0.085746
Cirsium hydrophilum var. hydrophilum,Plants,1,23055.72,1,3,3,2,1,1,72,1,-0.1638258,-0.102768
Melicope zahlbruckneri,Plants,1,11232.27,1,2,3,2,2,0,49,0,-0.1638258,-0.122832
Panicum niihauense,Plants,1,134787.3,1,2,3,2,2,0,152,0,-0.1638258,-0.122832
Sidalcea keckii,Plants,2,85601.74,1,8,2,2,2,0,31,0,-0.09502533,-0.1213111
Achyranthes splendens var. rotundata,Plants,1,4444.433,1,3,3,2,1,0,7,0,-0.1638258,-0.122832
Boltonia decurrens,Plants,2,130770.8,1,8,2,2,2,0,6,0,0.2816432,-0.0934648
Lipochaeta waimeaensis,Plants,1,472.9378,1,2,3,2,2,0,7,0,-0.1638258,-0.122832
Cupressus abramsiana,Plants,1,27995.55,1,14,1,2,2,0,3,0,-0.06434837,-0.1154404
Delissea subcordata,Plants,1,238059.1,1,5,3,1,2,0,15,0,-0.1638258,-0.122832
Erigeron decumbens var. decumbens,Plants,1,244999.5,1,3,3,2,1,1,197,0,-0.1638258,-0.122832
Melicope munroi,Plants,1,472.9378,1,5,3,1,2,0,49,0,-0.1638258,-0.122832
Chrysopsis floridana,Plants,3,32396.24,1,5,3,1,2,0,12,0,-0.1638258,-0.122832
Hibiscadelphus hualalaiensis,Plants,Prob. Extinct,8867.583,1,5,3,1,2,0,8,0,-0.1638258,-0.122832
Neotoma fuscipes riparia,Mammals,1,237178.3,1,6,3,1,1,1,23,0,-0.1638258,-0.122832
Schiedea nuttallii,Plants,1,234512.1,1,5,3,1,2,0,34,0,-0.1638258,-0.122832
Eubalaena glacialis,Mammals,1,20911526,NA,1,3,2,3,NA,3,0,2.444251,0.2537297
