taxon,listed,status,ngram_science,ngram_common,ngenus,probs
Invertebrates,0,UNK,-0.109395140598575,-0.0206291543758671,5,0
Mammals,0,5,-0.0614190355087973,-0.0206291543758671,57,0
Invertebrates,0,UNK,-0.08357194443832,-0.0206291543758671,12,0
Mammals,0,5,0.281314180462328,0.00603352817483558,23,0
Fishes,0,5,0.517232865846735,0.00533476727073289,2,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,23,0
Invertebrates,0,UNK,0.153173927006738,-0.0206291543758671,23,0
Invertebrates,0,UNK,-0.0865476011731654,-0.0206291543758671,23,0
Invertebrates,0,UNK,0.0608179657446021,-0.0201916376144443,23,0
Fishes,0,Extinct,-0.0894693336730617,-0.0202171993961057,9,0
Invertebrates,0,UNK,-0.0921394467539959,-0.0206291543758671,3,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,8,0
Birds,0,4,1.05200755089786,0.0494462014427217,3,0
Fishes,1,2,-0.0264751226270926,-0.0191104718962502,5,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,12,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,12,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,24,0
Mammals,0,5,1.18189677088319,-0.0170835560340344,23,0
Invertebrates,0,UNK,-0.0286828649536602,-0.0206291543758671,24,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,24,0
Reptiles,0,3,-0.0925024071922364,-0.0203826074915975,NA,0
Reptiles,0,5,0.223703241457649,-0.0206291543758671,3,0
Mammals,0,1,-0.0871014489520322,-0.0206291543758671,2,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,10,0
Birds,0,3,-0.0622052479851321,-0.0206291543758671,32,0
Fishes,0,1,-0.0877227048567936,-0.0200182133269852,29,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,7,0
Invertebrates,0,UNK,0.172074050135121,-0.0206291543758671,62,0
Invertebrates,0,UNK,-0.101142879930507,-0.0206291543758671,1,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,28,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,28,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,3,0
Fishes,1,1,-0.115371485388879,-0.0206291543758671,145,0
Fishes,0,5,1.18620025063463,0.0338052596063145,145,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,34,0
Amphibians,0,2,-0.115371485388879,-0.0206291543758671,59,0
Invertebrates,0,UNK,-0.115371485388879,-0.0206291543758671,34,0
Invertebrates,0,UNK,-0.103619100421486,-0.0206291543758671,34,0
Birds,0,5,0.0377638943731383,-0.0206291543758671,NA,0
Birds,0,3,0.212654824043543,0.0010853048829659,5,0
Amphibians,0,4,-0.115371485388879,-0.0206291543758671,51,0
Invertebrates,0,UNK,0.239335608910006,-0.0206291543758671,16,0
Fishes,0,UNK,-0.0583151150582026,-0.0206291543758671,9,0
Reptiles,0,5,-0.0537798825745876,-0.0206291543758671,10,0
Invertebrates,0,UNK,-0.105758588020241,-0.0206291543758671,2,0
Invertebrates,0,UNK,0.0471521445433005,-0.0206291543758671,1,0
Fishes,0,4,-0.0966453046636048,0.00907938203255115,6,0
Invertebrates,0,UNK,-0.094927330535706,-0.0206291543758671,5,0
Fishes,0,UNK,-0.033512518290673,-0.0188580060314846,11,0
Fishes,0,4,-0.0497731889367368,-0.020307509609829,145,0
